,ds,y
0,2005-01-31,33983
1,2005-02-28,32042
2,2005-03-31,36968
3,2005-04-30,38963
4,2005-05-31,40570
5,2005-06-30,40233
6,2005-07-31,41976
7,2005-08-31,41741
8,2005-09-30,39833
9,2005-10-31,40203
10,2005-11-30,36244
11,2005-12-31,33049
12,2006-01-31,37603
13,2006-02-28,34062
14,2006-03-31,43721
15,2006-04-30,69127
16,2006-05-31,79012
17,2006-06-30,77348
18,2006-07-31,82750
19,2006-08-31,80628
20,2006-09-30,75045
21,2006-10-31,76868
22,2006-11-30,70705
23,2006-12-31,67801
24,2007-01-31,67123
25,2007-02-28,53811
26,2007-03-31,71857
27,2007-04-30,70387
28,2007-05-31,78170
29,2007-06-30,55802
30,2007-07-31,40990
31,2007-08-31,39843
32,2007-09-30,38252
33,2007-10-31,39585
34,2007-11-30,34418
35,2007-12-31,31605
36,2008-01-31,66480
37,2008-02-29,57378
38,2008-03-31,67661
39,2008-04-30,71002
40,2008-05-31,76033
41,2008-06-30,75295
42,2008-07-31,80885
43,2008-08-31,81009
44,2008-09-30,74801
45,2008-10-31,75685
46,2008-11-30,67050
47,2008-12-31,58765
48,2009-01-31,60332
49,2009-02-28,56403
50,2009-03-31,67319
51,2009-04-30,65057
52,2009-05-31,70404
53,2009-06-30,68454
54,2009-07-31,71252
55,2009-08-31,71559
56,2009-09-30,67634
57,2009-10-31,66465
58,2009-11-30,62710
59,2009-12-31,56299
60,2010-01-31,57818
61,2010-02-28,49653
62,2010-03-31,64375
63,2010-04-30,63048
64,2010-05-31,66433
65,2010-06-30,64969
66,2010-07-31,66474
67,2010-08-31,67628
68,2010-09-30,63008
69,2010-10-31,63627
70,2010-11-30,48377
71,2010-12-31,25266
72,2011-01-31,27204
73,2011-02-28,22234
74,2011-03-31,28688
75,2011-04-30,29096
76,2011-05-31,31595
77,2011-06-30,32317
78,2011-07-31,33251
79,2011-08-31,32591
80,2011-09-30,29916
81,2011-10-31,30277
82,2011-11-30,27619
83,2011-12-31,27023
84,2012-01-31,26172
85,2012-02-29,23832
86,2012-03-31,28520
87,2012-04-30,27144
88,2012-05-31,30055
89,2012-06-30,31012
90,2012-07-31,31882
91,2012-08-31,29938
92,2012-09-30,27695
93,2012-10-31,27898
94,2012-11-30,26003
95,2012-12-31,25177
96,2013-01-31,25353
97,2013-02-28,21371
98,2013-03-31,24914
99,2013-04-30,25485
100,2013-05-31,27946
101,2013-06-30,27321
102,2013-07-31,28591
103,2013-08-31,28614
104,2013-09-30,26287
105,2013-10-31,25423
106,2013-11-30,23515
107,2013-12-31,21817
108,2014-01-31,19866
109,2014-02-28,17972
110,2014-03-31,22105
111,2014-04-30,22831
112,2014-05-31,24783
113,2014-06-30,25294
114,2014-07-31,26441
115,2014-08-31,25796
116,2014-09-30,23803
117,2014-10-31,23904
118,2014-11-30,20672
119,2014-12-31,20878
120,2015-01-31,20639
121,2015-02-28,16267
122,2015-03-31,21530
123,2015-04-30,21594
124,2015-05-31,23560
125,2015-06-30,23044
126,2015-07-31,24086
127,2015-08-31,24667
128,2015-09-30,22979
129,2015-10-31,22963
130,2015-11-30,20453
131,2015-12-31,20956
132,2016-01-31,20333
133,2016-02-29,18537
134,2016-03-31,21814
135,2016-04-30,20885
136,2016-05-31,23269
137,2016-06-30,23701
138,2016-07-31,24577
139,2016-08-31,24550
140,2016-09-30,23176
141,2016-10-31,23243
142,2016-11-30,21077
143,2016-12-31,19517
144,2017-01-31,11329
